# 1c957f52-822d-4d76-bdf3-c3d51b0de46f
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
93.9366096; 89630.3550221; 43152.9575705; -2.8751004; -0.0102392; 13.6230486; 4.4300588
94.9359352; 89630.6142313; 43151.9926947; -2.8821169; -0.0038091; 13.9442317; 4.3885550
95.9352608; 89630.8698701; 43151.0264437; -2.8827160; 0.0026078; 14.2552723; 4.3474401
96.9345865; 89631.1281612; 43150.0603463; -2.8769357; 0.0088389; 14.5568473; -1.3546912
97.9339121; 89631.3950206; 43149.0963667; -2.8651216; 0.0147952; 14.4635490; -8.9090587
98.9332377; 89631.6758218; 43148.1374393; -2.8473286; 0.0208376; 13.8343105; -8.0327846
99.9325634; 89631.9762407; 43147.1854787; -2.8234223; 0.0273142; 13.2413524; -7.1691500
100.9318890; 89632.3027866; 43146.2415157; -2.7924441; 0.0346919; 12.6887660; -6.4996959
101.9312146; 89632.6617408; 43145.3096330; -2.7541964; 0.0418482; 12.1661069; -6.0341828
102.9305403; 89633.0600586; 43144.3918621; -2.7089230; 0.0485687; 11.6599283; -5.6160940
103.9298659; 89633.5032748; 43143.4931656; -2.6566951; 0.0558696; 11.1682280; -5.1567164
104.9291915; 89633.9952524; 43142.6222781; -2.5966079; 0.0644945; 10.6968611; -4.5770369
105.9285172; 89634.5384258; 43141.7907153; -2.5276571; 0.0751978; 10.2603576; -3.4683307
106.9278428; 89635.1320994; 43141.0155354; -2.4457324; 0.0914418; 9.9168016; -3.3207671
107.9271684; 89635.8019193; 43140.2861656; -2.3504201; 0.0993295; 9.5763197; -3.1411891
108.9264941; 89636.5692700; 43139.6015675; -2.2484657; 0.0972739; 9.2427137; -3.8235031
109.9258197; 89637.3939160; 43139.0005938; -2.1537670; 0.0912503; 8.8196319; -5.2278473
110.9251453; 89638.2763860; 43138.4779639; -2.0548369; 0.1052582; 8.2059286; -3.3117645
111.9244710; 89639.1709793; 43138.0709955; -1.9337637; 0.1477786; 7.7921885; -3.2645839
112.9237966; 89640.1863209; 43137.7848214; -1.7547650; 0.1658771; 7.3616192; -1.5809559
113.9231222; 89641.2012972; 43137.6759417; -1.6105705; 0.1064441; 7.1437845; -5.4429222
114.9224479; 89642.0995428; 43137.6691099; -1.5654169; -0.0009508; 6.3368095; -0.1864802
115.9217735; 89643.0962504; 43137.7189488; -1.4236089; 0.3016406; 6.3073326; -0.1864802
116.9210991; 89644.0211831; 43138.0182030; -1.0988872; 0.2621522; 6.2777174; 1.4839197
117.9204248; 89644.8678249; 43138.5702412; -0.9029269; 0.1625808; 6.5096524; -0.0101194
118.9197504; 89645.5981562; 43139.2562871; -0.7179783; 0.2425820; 6.5080987; -0.1966979
119.9190760; 89646.1206292; 43140.0548802; -0.4325717; 0.2859715; 6.4778251; -0.1966979
120.9184017; 89646.4503289; 43141.0382159; -0.2529216; 0.0742151; 6.4474094; 5.1051449
121.9177273; 89646.6450962; 43141.9161925; -0.1822096; 0.0840336; 7.1953104; 5.0573164
122.9170529; 89646.7840897; 43142.9290479; -0.0873142; 0.1030175; 7.8664035; 5.0099361
123.9163786; 89646.8130512; 43144.0040718; 0.0385859; 0.1266475; 8.4789987; 2.5578758
124.9157042; 89646.7165951; 43144.9946970; 0.1513147; 0.1011743; 8.7752904; 3.8480358
125.9150298; 89646.5179370; 43145.9802783; 0.2434911; 0.0832940; 9.2030757; 4.5482684
126.9143555; 89646.2389302; 43146.9398388; 0.3205150; 0.0717547; 9.6843691; 4.8307143
127.9136811; 89645.8844969; 43147.8931499; 0.3904380; 0.0657065; 10.1706400; 4.7183075
128.9130067; 89645.4748821; 43148.8054480; 0.4521922; 0.0573146; 10.6241315; 4.7709117
129.9123324; 89645.0215380; 43149.6789320; 0.5035371; 0.0466899; 11.0637949; 4.7262146
130.9116580; 89644.5218480; 43150.5418529; 0.5443192; 0.0350741; 11.4827529; 4.6819362
131.9109836; 89643.9914203; 43151.3882572; 0.5732407; 0.0227209; 11.8832307; 4.6380726
132.9103093; 89643.4429634; 43152.2209105; 0.5895526; 0.0099648; 12.2670722; 4.5946200
133.9096349; 89642.8852191; 43153.0483630; 0.5959041; 0.0046023; 12.6358262; 4.5515745
134.9089605; 89642.3229017; 43153.8743382; 0.5990477; 0.0016942; 12.9908088; 4.5089323
135.9082862; 89641.7586848; 43154.7000927; 0.5992949; -0.0011980; 13.3331503; 4.4666895
136.9076118; 89641.1958016; 43155.5257225; 0.5973173; -0.0023142; 13.6638301; 4.4248426
137.9069374; 89640.6348647; 43156.3525876; 0.5947460; -0.0028324; 13.9837037; 4.3833876
138.9062631; 89640.0760069; 43157.1814283; 0.5916565; -0.0033481; 14.2935241; 4.3423211
139.9055887; 89639.5203264; 43158.0115421; 0.5880379; -0.0039092; 14.5939583; 4.3016393
140.9049143; 89638.9677893; 43158.8439746; 0.5838443; -0.0044848; 14.8856002; 4.2613386
141.9042400; 89638.4186024; 43159.6794632; 0.5790738; -0.0050574; 15.1689823; 4.2214155
142.9035656; 89637.8740905; 43160.5168549; 0.5741387; -0.0045112; 15.4445836; 4.1818664
143.9028912; 89637.3332583; 43161.3568360; 0.5701209; -0.0035329; 15.7128373; 4.1426879
144.9022169; 89636.7948935; 43162.1995078; 0.5670759; -0.0025580; 15.9741367; 4.1038764
145.9015425; 89636.2590726; 43163.0423040; 0.5664866; 0.0026738; 16.2288404; -1.5834588
146.9008682; 89635.7209117; 43163.8837624; 0.5726866; 0.0097314; 16.1310408; -9.0849296
147.9001938; 89635.1738649; 43164.7210638; 0.5859268; 0.0167306; 15.5580485; -7.4265141
148.8995194; 89634.6139153; 43165.5474695; 0.6064694; 0.0248164; 15.0734820; -5.8061485
149.8988451; 89634.0336486; 43166.3597688; 0.6355467; 0.0334152; 14.6835076; -4.3116156
150.8981707; 89633.4251683; 43167.1540997; 0.6732193; 0.0418316; 14.3870768; -2.9771754
151.8974963; 89632.7889258; 43167.9166886; 0.7187014; 0.0495688; 14.1787744; -1.8373580
152.8968220; 89632.1162310; 43168.6468519; 0.7713053; 0.0561790; 14.0486799; -0.9165634
153.8961476; 89631.3954036; 43169.3462829; 0.8304892; 0.0613706; 13.9833299; -0.9165634
154.8954732; 89630.6219102; 43170.0096040; 0.8920515; 0.0540293; 13.9176731; 0.6264592
155.8947989; 89629.8108530; 43170.6308707; 0.9399377; 0.0405660; 13.9625821; 1.1915216
156.8941245; 89628.9961716; 43171.2031177; 0.9753792; 0.0309946; 14.0476024; -6.6759351
157.8934501; 89628.1749372; 43171.7430754; 1.0012389; 0.0199021; 13.5643750; -9.1047951
158.8927758; 89627.3365788; 43172.2723563; 1.0102307; -0.0031417; 12.8761391; -8.8495314
159.8921014; 89626.5044771; 43172.8012499; 0.9951848; -0.0259590; 12.1699561; -8.0523521
160.8914270; 89625.6922201; 43173.3455221; 0.9644261; -0.0345908; 11.4897340; -7.7225417
161.8907527; 89624.8850393; 43173.9274005; 0.9268424; -0.0413789; 10.7971903; -7.1872954
162.8900783; 89624.0820376; 43174.5592608; 0.8796158; -0.0517719; 10.1101148; -6.9639207
163.8894039; 89623.2967336; 43175.2485944; 0.8195082; -0.0617238; 9.3965937; -6.6128525
164.8887296; 89622.5672944; 43175.9776313; 0.7493347; -0.0764404; 8.6648247; -5.3574723
165.8880552; 89621.9383758; 43176.7118538; 0.6622631; -0.1078781; 8.0231832; -3.0944814
166.8873808; 89621.3590781; 43177.5630466; 0.5244409; -0.1577383; 7.6280194; -0.6687144
167.8867065; 89620.9390292; 43178.4588710; 0.3447468; -0.2040060; 7.5399040; -0.2640116
168.8860321; 89620.7125096; 43179.3669466; 0.1422329; -0.2130588; 7.5048308; -0.2640116
169.8853577; 89620.6645577; 43180.3467261; -0.0302763; -0.1287142; 7.4695929; 4.5568769
170.8846834; 89620.7425090; 43181.3344996; -0.1190809; -0.0900305; 8.0562042; 2.3277534
171.8840090; 89620.9094986; 43182.2925053; -0.2347194; -0.1434968; 8.3399516; -0.3230119
172.8833346; 89621.2380089; 43183.2936000; -0.4048435; -0.1741422; 8.3011568; -0.3230119
173.8826603; 89621.6846143; 43184.1479016; -0.5524817; -0.1367112; 8.2621799; 2.3476126
174.8819859; 89622.2703953; 43184.9711011; -0.6822044; -0.1232843; 8.5414095; 2.6637309
175.8813115; 89622.9619087; 43185.7206230; -0.8089105; -0.1278813; 8.8475728; 0.4937435
176.8806372; 89623.7156643; 43186.3522309; -0.9389710; -0.1351536; 8.9031661; -1.4885787
177.8799628; 89624.5576738; 43186.8851471; -1.0738819; -0.1339297; 8.7344843; -1.6646870
178.8792884; 89625.4896859; 43187.3121135; -1.2065337; -0.1211200; 8.5419019; -3.1657057
179.8786141; 89626.4794077; 43187.6223268; -1.3266073; -0.1154060; 8.1631456; -3.7798838
180.8779397; 89627.4693050; 43187.8055792; -1.4535542; -0.1438175; 7.6864996; -0.2743776
181.8772653; 89628.4516006; 43187.8397731; -1.6307109; -0.2050094; 7.6507445; -0.2743776
182.8765910; 89629.4803264; 43187.6745094; -1.8161706; -0.1277987; 7.6148215; 4.3177211
183.8759166; 89630.3618311; 43187.4219175; -1.8534788; 0.0672550; 8.1618089; 4.9877416
184.8752422; 89631.2563649; 43187.1660000; -1.8730677; -0.1041504; 8.7512217; 3.6647715
185.8745679; 89632.2415494; 43186.7824161; -2.0157003; -0.1343849; 9.1601573; 0.3306477
186.8738935; 89633.0331644; 43186.3573376; -2.1005853; -0.0642464; 9.1961585; 4.9035813
187.8732191; 89633.8884839; 43185.8256629; -2.1485722; -0.0353873; 9.7144161; 4.8576412
188.8725448; 89634.7874218; 43185.2185614; -2.1784933; -0.0213204; 10.2018925; 4.8121315
189.8718704; 89635.6509683; 43184.6074283; -2.1909376; -0.0003957; 10.6628506; 1.4282657
190.8711960; 89636.4908447; 43184.0125281; -2.1789024; 0.0250256; 10.7958783; -5.8305227
191.8705217; 89637.2975851; 43183.4715989; -2.1378579; 0.0635017; 10.2419630; -3.8217543
192.8698473; 89638.1861324; 43182.9563475; -2.0505340; 0.0887744; 9.8620207; -3.0946867
193.8691729; 89639.1029310; 43182.5263596; -1.9737932; 0.0549661; 9.5432831; -6.9156682
194.8684986; 89639.9492628; 43182.1806005; -1.9547297; -0.0054185; 8.7893256; -3.6982617
195.8678242; 89640.8571729; 43181.8333683; -1.8961086; 0.1235202; 8.3582718; -0.3244326
196.8671498; 89641.8436050; 43181.5831576; -1.7338842; 0.1733796; 8.3193918; -0.3244326
197.8664755; 89642.7753444; 43181.5001447; -1.5922050; 0.1332525; 8.2803293; 2.5423039
198.8658011; 89643.7862642; 43181.5437747; -1.4649896; 0.1218861; 8.5816684; 2.6784833
199.8651267; 89644.8235744; 43181.7223138; -1.3351535; 0.1204500; 8.8881036; 2.1143405
200.8644524; 89645.7706119; 43182.0047182; -1.2318568; 0.0899476; 9.1227307; 4.1240658
201.8637780; 89646.7043524; 43182.3776514; -1.1536632; 0.0666344; 9.5638269; 4.8712494
202.8631036; 89647.6147707; 43182.8146827; -1.0959236; 0.0478447; 10.0599559; 4.8256123
203.8624293; 89648.5082377; 43183.2973057; -1.0591220; 0.0243208; 10.5284106; 4.7804027
204.8617549; 89649.3752353; 43183.7933888; -1.0472465; -0.0009779; 10.9727748; 4.7356166
205.8610805; 89650.2272535; 43184.2796843; -1.0615916; -0.0273693; 11.3959043; 0.7478149
206.8604062; 89651.0975487; 43184.7487106; -1.0926582; -0.0349923; 11.4612938; -8.0164730
207.8597318; 89651.9869283; 43185.1892984; -1.1296711; -0.0388451; 10.7396052; -8.0403448
208.8590574; 89652.9122928; 43185.6040187; -1.1693847; -0.0416324; 9.9633968; -6.9876803
209.8583831; 89653.8413479; 43185.9719941; -1.2215889; -0.0634463; 9.2359807; -5.4928576
210.8577087; 89654.8014685; 43186.2824666; -1.2993176; -0.0922373; 8.6211967; -3.4771979
211.8570343; 89655.7738536; 43186.4991481; -1.4106657; -0.1311849; 8.2082475; -2.6222271
212.8563600; 89656.8790981; 43186.6027708; -1.5384165; -0.1011894; 7.8825382; -5.5565484
213.8556856; 89657.8665422; 43186.5883308; -1.6298404; -0.0855047; 7.1434450; -3.5242756
214.8550112; 89658.8247684; 43186.4899352; -1.7321178; -0.1973833; 6.6321195; -0.2042660
215.8543369; 89659.7154309; 43186.2166789; -2.0211427; -0.2753762; 6.6012690; -0.2042660
216.8536625; 89660.4711811; 43185.7466637; -2.2345555; -0.2474456; 6.5702736; 1.1157917
217.8529881; 89661.2292040; 43184.9684713; -2.5018448; -0.2354613; 6.7378464; 1.0866454
218.8523138; 89661.7533308; 43184.0890531; -2.6917801; -0.1546783; 6.8971298; -4.8471032
219.8516394; 89662.1225443; 43183.1353157; -2.8589558; -0.1935043; 6.1548948; -0.1759271
220.8509650; 89662.2793203; 43182.1108913; 3.1374273; -0.3197347; 6.1262642; -0.1759271
221.8502907; 89662.1528860; 43181.1680855; 2.9233127; -0.0381061; 6.0974992; 0.0449731
222.8496163; 89661.9482869; 43180.3158707; 2.8262680; -0.3219801; 6.1048654; -0.1747002
223.8489419; 89661.4653534; 43179.3900751; 2.5228798; -0.1919747; 6.0762009; 4.7391886
224.8482676; 89660.8922266; 43178.6936821; 2.3938058; -0.1162552; 6.8111822; 5.0825366
225.8475932; 89660.1328189; 43177.9646733; 2.2791129; -0.1078254; 7.5200014; 5.0349199
226.8469188; 89659.2618755; 43177.3067889; 2.1544245; -0.1128104; 8.1617075; 4.1730560
227.8462445; 89658.3746878; 43176.7875938; 2.0494731; -0.0932183; 8.6575951; 4.6615733
228.8455701; 89657.4635836; 43176.3656179; 1.9610355; -0.0845874; 9.1799135; 4.4767318
229.8448957; 89656.5553625; 43176.0347053; 1.8792183; -0.0814031; 9.6549593; 3.9747877
230.8442214; 89655.5611342; 43175.7525238; 1.8278789; -0.0095605; 10.0579547; 2.7224346
231.8435470; 89654.6230999; 43175.4948734; 1.8660892; 0.0896918; 10.3249044; -0.4950665
232.8428726; 89653.7321084; 43175.1697864; 1.9792402; 0.1136211; 10.2768762; -0.4950665
233.8421983; 89652.8632671; 43174.7442985; 2.0654596; 0.0661920; 10.2286226; 4.5842571
234.8415239; 89651.9667261; 43174.2288975; 2.1130552; 0.0280924; 10.6671013; 2.9093086
235.8408495; 89651.1116618; 43173.7008483; 2.1347646; 0.0240564; 10.9362582; -9.0160559
236.8401752; 89650.2753779; 43173.1558109; 2.1636777; 0.0340623; 10.0787793; -8.4499226
237.8395008; 89649.4441153; 43172.5721550; 2.2043413; 0.0466043; 9.2028987; -7.9605975
238.8388264; 89648.6146967; 43171.9272647; 2.2619497; 0.0634144; 8.2935449; -7.0363766
239.8381521; 89647.8220085; 43171.2187959; 2.3439358; 0.0953976; 7.3972713; -4.4394747
240.8374777; 89647.1699024; 43170.5082473; 2.4658595; 0.1695965; 6.7710163; -0.2129115
241.8368033; 89646.6443777; 43169.6885883; 2.6940027; 0.2641942; 6.7395197; -0.2129115
242.8361290; 89646.3259172; 43168.7594889; 2.9062956; 0.1293954; 6.7078752; 3.1470493
243.8354546; 89646.1341126; 43167.8460507; 2.9509959; 0.0770219; 7.1613856; -0.2381692
244.8347803; 89646.0169658; 43166.8886980; 3.1145546; 0.2361766; 7.1280731; -0.2381692
245.8341059; 89646.1200813; 43165.8645072; -2.9177200; 0.2074500; 7.0946042; 1.3223961
246.8334315; 89646.4080395; 43164.9569211; -2.7625883; 0.1326538; 7.2784901; 4.7241501
247.8327572; 89646.8515712; 43164.0206954; -2.6393979; 0.1111119; 7.9005282; 4.7719940
248.8320828; 89647.4055352; 43163.1377831; -2.5223780; 0.1132492; 8.4826823; 3.5137581
249.8314084; 89648.0291335; 43162.3586569; -2.4118349; 0.1074151; 8.8869947; 3.1462890
250.8307341; 89648.7305425; 43161.6521574; -2.3093797; 0.0978421; 9.2340137; 3.2576105
251.8300597; 89649.4970344; 43161.0173693; -2.2168763; 0.0924914; 9.5800750; 3.0811265
252.8293853; 89650.3098965; 43160.4631695; -2.1193887; 0.1054151; 9.8962586; -0.6886727
253.8287110; 89651.1896636; 43159.9894469; -2.0082559; 0.1163841; 9.8264703; -0.8729764
254.8280366; 89652.1341133; 43159.6155760; -1.8860792; 0.1220429; 9.7372862; -0.5157927
255.8273622; 89653.0673585; 43159.3690537; -1.7738202; 0.1109038; 9.6842064; -1.7276509
256.8266879; 89654.0506900; 43159.2210320; -1.6680342; 0.1021901; 9.5042560; -2.9212599
257.8260135; 89655.0728571; 43159.1738352; -1.5669516; 0.0956646; 9.1919694; -4.0287060
258.8253391; 89656.1279106; 43159.2300345; -1.4696494; 0.0885051; 8.7430157; -5.5116437
259.8246648; 89657.1709603; 43159.3858495; -1.3740002; 0.0964417; 8.0885394; -4.8312989
260.8239904; 89658.1324691; 43159.6303709; -1.2635732; 0.1332317; 7.4678235; -0.2589879
261.8233160; 89659.0179682; 43159.9883662; -1.0941251; 0.2171916; 7.4330856; -0.2589879
262.8226417; 89659.9142524; 43160.5911516; -0.8736843; 0.1561891; 7.3981846; 1.7663645
263.8219673; 89660.5654818; 43161.1790200; -0.8423723; -0.1442698; 7.6330519; -0.2705751
264.8212929; 89661.2668261; 43161.7764314; -0.8264572; 0.2078905; 7.5975454; -0.2705751
265.8206186; 89661.9342841; 43162.5684311; -0.5804206; 0.1736653; 7.5618722; 1.8014487
266.8199442; 89662.3902709; 43163.3465639; -0.4993316; 0.0368177; 7.7963054; 5.0150826
267.8192698; 89662.8823593; 43164.2656529; -0.4934610; -0.0198802; 8.4146170; 4.9680979
268.8185955; 89663.4260034; 43165.2304612; -0.5408566; -0.0565219; 8.9852810; -2.8517576
269.8179211; 89664.0323999; 43166.1817125; -0.5892420; -0.0299010; 8.6623095; -10.0094580
270.8172467; 89664.5930346; 43167.0019009; -0.6043658; 0.0052911; 7.4182336; -10.9862703
271.8165724; 89665.0892539; 43167.7432610; -0.5723107; -0.0353393; 5.7508666; -0.1535883
272.8158980; 89665.6794771; 43168.4285015; -0.9143913; -0.3662389; 5.7241154; -0.1535883
273.8152236; 89666.4952164; 43168.9325124; -1.0800615; -0.0926162; 5.6972387; 5.1478506
274.8145493; 89667.4451813; 43169.3860522; -1.1709364; -0.0931538; 6.5381409; 5.0996221
